Name (or Code),RIC,ISIN,CUSIP/CINS,Type of Equity,Exchange,Country of Issuer
Umweltbank AG,UBKG.DE,DE0005570808,D8506Y103,Ordinary Share,Xetra,Germany
Yoc AG,YOCG.DE,DE0005932735,D9T38S118,Ordinary Share,Xetra,Germany
Lloyd Fonds AG,L1OGk.DE,DE000A12UP29,D5S04K114,Ordinary Share,Xetra,Germany
Ecotel Communication AG,E4CG.DE,DE0005854343,D2457Y105,Ordinary Share,Xetra,Germany
QBeyond AG,QBYn.DE,DE0005137004,D6S41S102,Ordinary Share,Xetra,Germany
Lechwerke AG,LECG.F,DE0006458003,D49493105,Ordinary Share,Frankfurt Stock Exchange,Germany
Euwax AG,EUXG.F,DE0005660104,D25625100,Ordinary Share,Frankfurt Stock Exchange,Germany
AGROB Immobilien AG,AGRG.F,DE0005019004,D01792106,Ordinary Share,Frankfurt Stock Exchange,Germany
GK Software SE,GKSG.DE,DE0007571424,D2759R105,Ordinary Share,Xetra,Germany
Nabaltec AG,NTGG.DE,DE000A0KPPR7,D5647Z106,Ordinary Share,Xetra,Germany
Francotyp Postalia Holding AG,FPHG.DE,DE000FPH9000,D3689N107,Ordinary Share,Xetra,Germany
BRAIN Biotech AG,BNNn.DE,DE0005203947,D1R155106,Ordinary Share,Xetra,Germany
technotrans SE,TTRGn.DE,DE000A0XYGA7,D83038121,Ordinary Share,Xetra,Germany
Euroeyes International Eye Clinic Ltd,1846.HK,KYG3224D1088,G3224D108,Ordinary Share,The Stock Exchange of Hong Kong Ltd,Germany
InnoTec TSS AG,TSSG.F,DE0005405104,D15015106,Ordinary Share,Frankfurt Stock Exchange,Germany
Fashionette AG,FSNT.DE,DE000A2QEFA1,D2R2TZ100,Ordinary Share,Xetra,Germany
H&R GmbH & Co KgaA,2HR.DE,DE000A2E4T77,D3R2PL103,Ordinary Share,Xetra,Germany
EQS Group AG,EQSn.DE,DE0005494165,D3005H107,Ordinary Share,Xetra,Germany
ALBA SE,ABAG.F,DE0006209901,D0313C101,Ordinary Share,Frankfurt Stock Exchange,Germany
Clean Logistics SE,SD1n.DE,DE000A1YDAZ7,D6944V103,Ordinary Share,Xetra,Germany
Deutsche Konsum REIT-AG,DKG.DE,DE000A14KRD3,D1923Y103,Ordinary Share,Xetra,Germany
CENIT AG,CSHG.DE,DE0005407100,D1497G108,Ordinary Share,Xetra,Germany
GORE German Office Real Estate AG,GAG1n.DE,DE000A0Z26C8,D3R224106,Ordinary Share,Xetra,Germany
Stemmer Imaging AG,S9I.DE,DE000A2G9MZ9,D8T4JX107,Ordinary Share,Xetra,Germany
